ID,GENE_ID,Description
11330_at,11330,chymotrypsin C (caldecrin)
11331_at,11331,prohibitin 2
11332_at,11332,acyl-CoA thioesterase 7
11333_at,11333,PDGFA associated protein 1
11334_at,11334,tumor suppressor candidate 2
11335_at,11335,"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
11336_at,11336,exocyst complex component 3
11337_at,11337,GABA(A) receptor-associated protein
11338_at,11338,U2 small nuclear RNA auxiliary factor 2
11339_at,11339,Opa interacting protein 5
1134_at,1134,"cholinergic receptor, nicotinic, alpha 1 (muscle)"
11340_at,11340,exosome component 8
11341_at,11341,scrapie responsive protein 1
113419_at,113419,testis expressed 261
11342_at,11342,ring finger protein 13
11343_at,11343,monoglyceride lipase
11344_at,11344,"twinfilin, actin-binding protein, homolog 2 (Drosophila)"
11345_at,11345,GABA(A) receptor-associated protein-like 2
1135_at,1135,"cholinergic receptor, nicotinic, alpha 2 (neuronal)"
1136_at,1136,"cholinergic receptor, nicotinic, alpha 3"
1137_at,1137,"cholinergic receptor, nicotinic, alpha 4"
113791_at,113791,phosphoinositide-3-kinase interacting protein 1
1138_at,1138,"cholinergic receptor, nicotinic, alpha 5"
113835_at,113835,zinc finger protein 257
113878_at,113878,deltex homolog 2 (Drosophila)
114_at,114,adenylate cyclase 8 (brain)
1140_at,1140,"cholinergic receptor, nicotinic, beta 1 (muscle)"
114034_at,114034,"target of EGR1, member 1 (nuclear)"
114044_at,114044,minichromosome maintenance complex component 3 associated protein antisense
114049_at,114049,Williams Beuren syndrome chromosome region 22
114088_at,114088,tripartite motif-containing 9
1141_at,1141,"cholinergic receptor, nicotinic, beta 2 (neuronal)"
114112_at,114112,thioredoxin reductase 3
1142_at,1142,"cholinergic receptor, nicotinic, beta 3"
1143_at,1143,"cholinergic receptor, nicotinic, beta 4"
114327_at,114327,EF-hand domain (C-terminal) containing 1
1144_at,1144,"cholinergic receptor, nicotinic, delta"
1145_at,1145,"cholinergic receptor, nicotinic, epsilon"
114548_at,114548,"NLR family, pyrin domain containing 3"
1146_at,1146,"cholinergic receptor, nicotinic, gamma"
114625_at,114625,erythroblast membrane-associated protein (Scianna blood group)
1147_at,1147,conserved helix-loop-helix ubiquitous kinase
114791_at,114791,"tubulin, gamma complex associated protein 5"
114819_at,114819,"ciliary rootlet coiled-coil, rootletin-like 2"
114876_at,114876,oxysterol binding protein-like 1A
114881_at,114881,oxysterol binding protein-like 7
114882_at,114882,oxysterol binding protein-like 8
114883_at,114883,oxysterol binding protein-like 9
114884_at,114884,oxysterol binding protein-like 10
114885_at,114885,oxysterol binding protein-like 11
114897_at,114897,C1q and tumor necrosis factor related protein 1
114899_at,114899,C1q and tumor necrosis factor related protein 3
1149_at,1149,cell death-inducing DFFA-like effector a
114908_at,114908,transmembrane protein 123
114932_at,114932,Morf4 family associated protein 1-like 1
115_at,115,adenylate cyclase 9
115123_at,115123,membrane-associated ring finger (C3HC4) 3
1152_at,1152,"creatine kinase, brain"
115201_at,115201,ATG4 autophagy related 4 homolog A (S. cerevisiae)
115207_at,115207,potassium channel tetramerisation domain containing 12
115290_at,115290,F-box protein 17
1153_at,1153,cold inducible RNA binding protein
115353_at,115353,leucine rich repeat containing 42
1154_at,1154,cytokine inducible SH2-containing protein
1155_at,1155,tubulin folding cofactor B
115648_at,115648,
115653_at,115653,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3"
115703_at,115703,sorting nexin 26
115708_at,115708,chromosome 14 open reading frame 172
1158_at,1158,"creatine kinase, muscle"
115817_at,115817,dehydrogenase/reductase (SDR family) member 1
115939_at,115939,chromosome 16 open reading frame 42
116_at,116,adenylate cyclase activating polypeptide 1 (pituitary)
1160_at,1160,"creatine kinase, mitochondrial 2 (sarcomeric)"
116039_at,116039,odd-skipped related 2 (Drosophila)
1161_at,1161,"excision repair cross-complementing rodent repair deficiency, complementation group 8"
116138_at,116138,kelch domain containing 3
116285_at,116285,acyl-CoA synthetase medium-chain family member 1
116372_at,116372,LY6/PLAUR domain containing 1
1164_at,1164,CDC28 protein kinase regulatory subunit 2
116496_at,116496,"family with sequence similarity 129, member A"
116832_at,116832,ribosomal protein L39-like
116984_at,116984,"centaurin, delta 1"
116985_at,116985,"centaurin, delta 2"
116986_at,116986,"centaurin, gamma 1"
116987_at,116987,"centaurin, gamma 2"
117_at,117,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
117153_at,117153,melanoma inhibitory activity 2
117178_at,117178,"synovial sarcoma, X breakpoint 2 interacting protein"
117246_at,117246,FtsJ homolog 3 (E. coli)
1173_at,1173,"adaptor-related protein complex 2, mu 1 subunit"
1174_at,1174,"adaptor-related protein complex 1, sigma 1 subunit"
1175_at,1175,"adaptor-related protein complex 2, sigma 1 subunit"
1178_at,1178,Charcot-Leyden crystal protein
1179_at,1179,"chloride channel, calcium activated, family member 1"
118_at,118,adducin 1 (alpha)
1180_at,1180,"chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)"
1181_at,1181,chloride channel 2
1182_at,1182,chloride channel 3
1183_at,1183,chloride channel 4
1184_at,1184,"chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)"
1185_at,1185,chloride channel 6
1186_at,1186,chloride channel 7
1188_at,1188,chloride channel Kb
119_at,119,adducin 2 (beta)
1191_at,1191,clusterin
1192_at,1192,chloride intracellular channel 1
1193_at,1193,chloride intracellular channel 2
1195_at,1195,CDC-like kinase 1
1196_at,1196,CDC-like kinase 2
1198_at,1198,CDC-like kinase 3
12_at,12,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
120_at,120,adducin 3 (gamma)
1200_at,1200,tripeptidyl peptidase I
1201_at,1201,"ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)"
1203_at,1203,"ceroid-lipofuscinosis, neuronal 5"
120526_at,120526,"DPH4, JJJ3 homolog (S. cerevisiae)"
1207_at,1207,"chloride channel, nucleotide-sensitive, 1A"
1208_at,1208,"colipase, pancreatic"
1209_at,1209,cleft lip and palate associated transmembrane protein 1
1211_at,1211,"clathrin, light chain (Lca)"
1212_at,1212,"clathrin, light chain (Lcb)"
1213_at,1213,"clathrin, heavy chain (Hc)"
1215_at,1215,"chymase 1, mast cell"
122616_at,122616,chromosome 14 open reading frame 79
123_at,123,adipose differentiation-related protein
1230_at,1230,chemokine (C-C motif) receptor 1
1232_at,1232,chemokine (C-C motif) receptor 3
1233_at,1233,chemokine (C-C motif) receptor 4
1234_at,1234,chemokine (C-C motif) receptor 5
1235_at,1235,chemokine (C-C motif) receptor 6
1236_at,1236,chemokine (C-C motif) receptor 7
1237_at,1237,chemokine (C-C motif) receptor 8
1238_at,1238,chemokine binding protein 2
123803_at,123803,N-terminal asparagine amidase
123872_at,123872,leucine rich repeat containing 50
124_at,124,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
1240_at,1240,chemokine-like receptor 1
124044_at,124044,spermatogenesis associated 2-like
1241_at,1241,leukotriene B4 receptor
124152_at,124152,IQ motif containing K
124222_at,124222,progestin and adipoQ receptor family member IV
1244_at,1244,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
124565_at,124565,hypothetical protein MGC15523
124583_at,124583,calcium activated nucleotidase 1
125_at,125,"alcohol dehydrogenase IB (class I), beta polypeptide"
1258_at,1258,cyclic nucleotide gated channel beta 1
125893_at,125893,zinc finger protein 816A
1259_at,1259,cyclic nucleotide gated channel alpha 1
126_at,126,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
1261_at,1261,cyclic nucleotide gated channel alpha 3
126208_at,126208,zinc finger protein 787
126231_at,126231,zinc finger protein 573
126299_at,126299,zinc finger protein 428
1263_at,1263,polo-like kinase 3 (Drosophila)
126353_at,126353,chromosome 19 open reading frame 21
126393_at,126393,"heat shock protein, alpha-crystallin-related, B6"
1264_at,1264,"calponin 1, basic, smooth muscle"
1265_at,1265,calponin 2
1266_at,1266,"calponin 3, acidic"
1267_at,1267,"2',3'-cyclic nucleotide 3' phosphodiesterase"
1268_at,1268,cannabinoid receptor 1 (brain)
1269_at,1269,cannabinoid receptor 2 (macrophage)
1270_at,1270,ciliary neurotrophic factor
1271_at,1271,ciliary neurotrophic factor receptor
1272_at,1272,contactin 1
127406_at,127406,similar to laminin receptor 1 (ribosomal protein SA)
127544_at,127544,ring finger protein 19B
1277_at,1277,"collagen, type I, alpha 1"
127703_at,127703,chromosome 1 open reading frame 216
1278_at,1278,"collagen, type I, alpha 2"
128_at,128,"alcohol dehydrogenase 5 (class III), chi polypeptide"
1280_at,1280,"collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)"
1281_at,1281,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
1282_at,1282,"collagen, type IV, alpha 1"
1284_at,1284,"collagen, type IV, alpha 2"
1285_at,1285,"collagen, type IV, alpha 3 (Goodpasture antigen)"
1286_at,1286,"collagen, type IV, alpha 4"
1287_at,1287,"collagen, type IV, alpha 5 (Alport syndrome)"
1288_at,1288,"collagen, type IV, alpha 6"
128872_at,128872,high-mobility group (nonhistone chromosomal) protein 4-like
1289_at,1289,"collagen, type V, alpha 1"
1290_at,1290,"collagen, type V, alpha 2"
129025_at,129025,suppressor of hairy wing homolog 1 (Drosophila)
129080_at,129080,EMI domain containing 1
1291_at,1291,"collagen, type VI, alpha 1"
1292_at,1292,"collagen, type VI, alpha 2"
1293_at,1293,"collagen, type VI, alpha 3"
1294_at,1294,"collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)"
1296_at,1296,"collagen, type VIII, alpha 2"
1297_at,1297,"collagen, type IX, alpha 1"
1298_at,1298,"collagen, type IX, alpha 2"
1299_at,1299,"collagen, type IX, alpha 3"
13_at,13,arylacetamide deacetylase (esterase)
130_at,130,alcohol dehydrogenase 6 (class V)
1300_at,1300,"collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)"
130074_at,130074,p20
1301_at,1301,"collagen, type XI, alpha 1"
1302_at,1302,"collagen, type XI, alpha 2"
1305_at,1305,"collagen, type XIII, alpha 1"
1306_at,1306,"collagen, type XV, alpha 1"
1307_at,1307,"collagen, type XVI, alpha 1"
1308_at,1308,"collagen, type XVII, alpha 1"
130916_at,130916,MTERF domain containing 2
131_at,131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
1310_at,1310,"collagen, type XIX, alpha 1"
1311_at,1311,cartilage oligomeric matrix protein
1312_at,1312,catechol-O-methyltransferase
1314_at,1314,"coatomer protein complex, subunit alpha"
131408_at,131408,"family with sequence similarity 131, member A"
1315_at,1315,"coatomer protein complex, subunit beta 1"
131544_at,131544,hypothetical protein DKFZp667G2110
131566_at,131566,"discoidin, CUB and LCCL domain containing 2"
131578_at,131578,leucine rich repeat containing 15
1316_at,1316,Kruppel-like factor 6
131601_at,131601,G protein-coupled receptor 175
1317_at,1317,"solute carrier family 31 (copper transporters), member 1"
1318_at,1318,"solute carrier family 31 (copper transporters), member 2"
132_at,132,adenosine kinase
1326_at,1326,mitogen-activated protein kinase kinase kinase 8
1327_at,1327,cytochrome c oxidase subunit IV isoform 1
1329_at,1329,cytochrome c oxidase subunit Vb
133_at,133,adrenomedullin
133619_at,133619,proline-rich coiled-coil 1
1339_at,1339,cytochrome c oxidase subunit VIa polypeptide 2
134_at,134,adenosine A1 receptor
1340_at,1340,cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
1345_at,1345,cytochrome c oxidase subunit VIc
1346_at,1346,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)
1347_at,1347,cytochrome c oxidase subunit VIIa polypeptide 2 (liver)
1349_at,1349,cytochrome c oxidase subunit VIIb
135_at,135,adenosine A2a receptor
1350_at,1350,cytochrome c oxidase subunit VIIc
1351_at,1351,cytochrome c oxidase subunit 8A (ubiquitous)
135138_at,135138,PARK2 co-regulated
1352_at,1352,"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)"
1353_at,1353,"COX11 homolog, cytochrome c oxidase assembly protein (yeast)"
1355_at,1355,"COX15 homolog, cytochrome c oxidase assembly protein (yeast)"
1356_at,1356,ceruloplasmin (ferroxidase)
1357_at,1357,carboxypeptidase A1 (pancreatic)
1358_at,1358,carboxypeptidase A2 (pancreatic)
1359_at,1359,carboxypeptidase A3 (mast cell)
135948_at,135948,"olfactory receptor, family 2, subfamily F, member 2"
136_at,136,adenosine A2b receptor
1360_at,1360,carboxypeptidase B1 (tissue)
1361_at,1361,carboxypeptidase B2 (plasma)
1362_at,1362,carboxypeptidase D
1363_at,1363,carboxypeptidase E
1364_at,1364,claudin 4
1365_at,1365,claudin 3
1366_at,1366,claudin 7
1368_at,1368,carboxypeptidase M
1369_at,1369,"carboxypeptidase N, polypeptide 1"
1370_at,1370,"carboxypeptidase N, polypeptide 2"
1371_at,1371,coproporphyrinogen oxidase
1373_at,1373,"carbamoyl-phosphate synthetase 1, mitochondrial"
1374_at,1374,carnitine palmitoyltransferase 1A (liver)
1375_at,1375,carnitine palmitoyltransferase 1B (muscle)
1376_at,1376,carnitine palmitoyltransferase II
1378_at,1378,complement component (3b/4b) receptor 1 (Knops blood group)
137886_at,137886,hypothetical protein LOC137886
1380_at,1380,complement component (3d/Epstein Barr virus) receptor 2
138046_at,138046,RALY RNA binding protein-like
138050_at,138050,heparan-alpha-glucosaminide N-acetyltransferase
1381_at,1381,cellular retinoic acid binding protein 1
138162_at,138162,chromosome 9 open reading frame 116
1382_at,1382,cellular retinoic acid binding protein 2
1384_at,1384,carnitine acetyltransferase
1385_at,1385,cAMP responsive element binding protein 1
1386_at,1386,activating transcription factor 2
1387_at,1387,CREB binding protein (Rubinstein-Taybi syndrome)
1388_at,1388,cAMP responsive element binding protein-like 1
1389_at,1389,cAMP responsive element binding protein-like 2
1390_at,1390,cAMP responsive element modulator
139081_at,139081,"melanoma antigen family C, 3"
1392_at,1392,corticotropin releasing hormone
1393_at,1393,corticotropin releasing hormone binding protein
139322_at,139322,apolipoprotein O-like
1394_at,1394,corticotropin releasing hormone receptor 1
1395_at,1395,corticotropin releasing hormone receptor 2
139538_at,139538,VENT homeobox (Xenopus laevis) pseudogene 1
1396_at,1396,cysteine-rich protein 1 (intestinal)
1397_at,1397,cysteine-rich protein 2
139748_at,139748,keratin 18 pseudogene 44
1398_at,1398,v-crk sarcoma virus CT10 oncogene homolog (avian)
1399_at,1399,v-crk sarcoma virus CT10 oncogene homolog (avian)-like
14_at,14,"angio-associated, migratory cell protein"
140_at,140,adenosine A3 receptor
1400_at,1400,collapsin response mediator protein 1
1401_at,1401,"C-reactive protein, pentraxin-related"
1404_at,1404,hyaluronan and proteoglycan link protein 1
140459_at,140459,ankyrin repeat and SOCS box-containing 6
140460_at,140460,ankyrin repeat and SOCS box-containing 7
140461_at,140461,ankyrin repeat and SOCS box-containing 8
140462_at,140462,ankyrin repeat and SOCS box-containing 9
140465_at,140465,"myosin, light chain 6B, alkali, smooth muscle and non-muscle"
140467_at,140467,zinc finger protein 358
140545_at,140545,ring finger protein 32
140578_at,140578,chondrolectin
140597_at,140597,transcription elongation factor A (SII)-like 2
1406_at,1406,cone-rod homeobox
1407_at,1407,cryptochrome 1 (photolyase-like)
1408_at,1408,cryptochrome 2 (photolyase-like)
140801_at,140801,ribosomal protein L10-like
140803_at,140803,"transient receptor potential cation channel, subfamily M, member 6"
140883_at,140883,suppressor of hairy wing homolog 2 (Drosophila)
140885_at,140885,signal-regulatory protein alpha
140890_at,140890,"splicing factor, arginine/serine-rich 12"
1409_at,1409,"crystallin, alpha A"
141_at,141,ADP-ribosylarginine hydrolase
1410_at,1410,"crystallin, alpha B"
1411_at,1411,"crystallin, beta A1"
1412_at,1412,"crystallin, beta A2"
1413_at,1413,"crystallin, beta A4"
1414_at,1414,"crystallin, beta B1"
1415_at,1415,"crystallin, beta B2"
1417_at,1417,"crystallin, beta B3"
1418_at,1418,"crystallin, gamma A"
1419_at,1419,"crystallin, gamma B"
142_at,142,"poly (ADP-ribose) polymerase family, member 1"
1420_at,1420,"crystallin, gamma C"
1421_at,1421,"crystallin, gamma D"
142684_at,142684,"RAB40A, member RAS oncogene family"
1428_at,1428,"crystallin, mu"
1429_at,1429,"crystallin, zeta (quinone reductase)"
1431_at,1431,citrate synthase
1432_at,1432,mitogen-activated protein kinase 14
1434_at,1434,CSE1 chromosome segregation 1-like (yeast)
1435_at,1435,colony stimulating factor 1 (macrophage)
1436_at,1436,"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog"
1437_at,1437,colony stimulating factor 2 (granulocyte-macrophage)
1440_at,1440,colony stimulating factor 3 (granulocyte)
1441_at,1441,colony stimulating factor 3 receptor (granulocyte)
1442_at,1442,chorionic somatomammotropin hormone 1 (placental lactogen)
1443_at,1443,chorionic somatomammotropin hormone 2
1444_at,1444,chorionic somatomammotropin hormone-like 1
1445_at,1445,c-src tyrosine kinase
1446_at,1446,casein alpha s1
1447_at,1447,casein beta
1448_at,1448,casein kappa
1452_at,1452,"casein kinase 1, alpha 1"
1453_at,1453,"casein kinase 1, delta"
145389_at,145389,"solute carrier family 38, member 6"
1454_at,1454,"casein kinase 1, epsilon"
1455_at,1455,"casein kinase 1, gamma 2"
1456_at,1456,"casein kinase 1, gamma 3"
1457_at,1457,"casein kinase 2, alpha 1 polypeptide"
1459_at,1459,"casein kinase 2, alpha prime polypeptide"
146_at,146,"adrenergic, alpha-1D-, receptor"
1460_at,1460,"casein kinase 2, beta polypeptide"
1462_at,1462,versican
1463_at,1463,neurocan
1464_at,1464,chondroitin sulfate proteoglycan 4
1465_at,1465,cysteine and glycine-rich protein 1
146542_at,146542,zinc finger protein 688
146562_at,146562,chromosome 16 open reading frame 71
1466_at,1466,cysteine and glycine-rich protein 2
146712_at,146712,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1"
1468_at,1468,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10"
1469_at,1469,cystatin SN
147_at,147,"adrenergic, alpha-1B-, receptor"
1470_at,1470,cystatin SA
1471_at,1471,cystatin C (amyloid angiopathy and cerebral hemorrhage)
147179_at,147179,"WAS/WASL interacting protein family, member 2"
1472_at,1472,cystatin S
1473_at,1473,cystatin D
147339_at,147339,chromosome 18 open reading frame 25
1474_at,1474,cystatin E/M
1475_at,1475,cystatin A (stefin A)
1476_at,1476,cystatin B (stefin B)
147657_at,147657,zinc finger protein 480
1477_at,1477,"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
1478_at,1478,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"
1479_at,1479,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"
147912_at,147912,SIX homeobox 5
148_at,148,"adrenergic, alpha-1A-, receptor"
148022_at,148022,toll-like receptor adaptor molecule 1
148066_at,148066,zinc and ring finger 4
1482_at,1482,"NK2 transcription factor related, locus 5 (Drosophila)"
148229_at,148229,"ATPase, Class I, type 8B, member 3"
1486_at,1486,"chitobiase, di-N-acetyl-"
1487_at,1487,C-terminal binding protein 1
148753_at,148753,chromosome 1 open reading frame 76
1488_at,1488,C-terminal binding protein 2
1489_at,1489,cardiotrophin 1
1490_at,1490,connective tissue growth factor
1491_at,1491,cystathionase (cystathionine gamma-lyase)
149111_at,149111,cornichon homolog 3 (Drosophila)
1493_at,1493,cytotoxic T-lymphocyte-associated protein 4
1495_at,1495,"catenin (cadherin-associated protein), alpha 1, 102kDa"
1496_at,1496,"catenin (cadherin-associated protein), alpha 2"
149603_at,149603,ring finger protein 187
1497_at,1497,"cystinosis, nephropathic"
1499_at,1499,"catenin (cadherin-associated protein), beta 1, 88kDa"
15_at,15,arylalkylamine N-acetyltransferase
150_at,150,"adrenergic, alpha-2A-, receptor"
1500_at,1500,"catenin (cadherin-associated protein), delta 1"
150094_at,150094,SNF1-like kinase
1501_at,1501,"catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)"
150160_at,150160,"chaperonin containing TCP1, subunit 8 (theta)-like 2"
150244_at,150244,FLJ31568 protein
1503_at,1503,CTP synthase
1506_at,1506,chymotrypsin-like
150726_at,150726,F-box protein 41
1508_at,1508,cathepsin B
1509_at,1509,cathepsin D
151_at,151,"adrenergic, alpha-2B-, receptor"
1510_at,1510,cathepsin E
151011_at,151011,septin 10
151050_at,151050,hypothetical protein FLJ23861
1511_at,1511,cathepsin G
1512_at,1512,cathepsin H
1513_at,1513,cathepsin K
1514_at,1514,cathepsin L1
1515_at,1515,cathepsin L2
1519_at,1519,cathepsin O
151987_at,151987,"protein phosphatase 4, regulatory subunit 2"
152_at,152,"adrenergic, alpha-2C-, receptor"
1520_at,1520,cathepsin S
152006_at,152006,ring finger protein 38
152015_at,152015,"ropporin, rhophilin associated protein 1B"
1521_at,1521,cathepsin W
152185_at,152185,coiled-coil domain containing 52
1522_at,1522,cathepsin Z
1523_at,1523,"cut-like 1, CCAAT displacement protein (Drosophila)"
1524_at,1524,chemokine (C-X3-C motif) receptor 1
1525_at,1525,coxsackie virus and adenovirus receptor
152559_at,152559,progestin and adipoQ receptor family member III
1528_at,1528,cytochrome b5 type A (microsomal)
153_at,153,"adrenergic, beta-1-, receptor"
1534_at,1534,cytochrome b-561
1535_at,1535,"cytochrome b-245, alpha polypeptide"
1536_at,1536,"cytochrome b-245, beta polypeptide (chronic granulomatous disease)"
1537_at,1537,cytochrome c-1
1538_at,1538,"cylicin, basic protein of sperm head cytoskeleton 1"
1539_at,1539,"cylicin, basic protein of sperm head cytoskeleton 2"
154_at,154,"adrenergic, beta-2-, receptor, surface"
1540_at,1540,cylindromatosis (turban tumor syndrome)
1543_at,1543,"cytochrome P450, family 1, subfamily A, polypeptide 1"
1544_at,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2"
1545_at,1545,"cytochrome P450, family 1, subfamily B, polypeptide 1"
154661_at,154661,RUN domain containing 3B
154754_at,154754,trypsinogen C
154796_at,154796,angiomotin
1548_at,1548,"cytochrome P450, family 2, subfamily A, polypeptide 6"
1549_at,1549,"cytochrome P450, family 2, subfamily A, polypeptide 7"
155_at,155,"adrenergic, beta-3-, receptor"
155060_at,155060,zinc finger protein 783
155066_at,155066,"ATPase, H+ transporting V0 subunit e2"
1551_at,1551,"cytochrome P450, family 3, subfamily A, polypeptide 7"
1553_at,1553,"cytochrome P450, family 2, subfamily A, polypeptide 13"
155400_at,155400,"NOL1/NOP2/Sun domain family, member 5B"
1555_at,1555,"cytochrome P450, family 2, subfamily B, polypeptide 6"
1556_at,1556,"cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1"
1557_at,1557,"cytochrome P450, family 2, subfamily C, polypeptide 19"
1558_at,1558,"cytochrome P450, family 2, subfamily C, polypeptide 8"
1559_at,1559,"cytochrome P450, family 2, subfamily C, polypeptide 9"
156_at,156,"adrenergic, beta, receptor kinase 1"
1562_at,1562,"cytochrome P450, family 2, subfamily C, polypeptide 18"
157_at,157,"adrenergic, beta, receptor kinase 2"
1571_at,1571,"cytochrome P450, family 2, subfamily E, polypeptide 1"
1573_at,1573,"cytochrome P450, family 2, subfamily J, polypeptide 2"
157567_at,157567,ankyrin repeat domain 46
1576_at,1576,"cytochrome P450, family 3, subfamily A, polypeptide 4"
157680_at,157680,vacuolar protein sorting 13 homolog B (yeast)
1577_at,1577,"cytochrome P450, family 3, subfamily A, polypeptide 5"
1579_at,1579,"cytochrome P450, family 4, subfamily A, polypeptide 11"
157922_at,157922,calmodulin regulated spectrin-associated protein 1
158_at,158,adenylosuccinate lyase
1580_at,1580,"cytochrome P450, family 4, subfamily B, polypeptide 1"
1581_at,1581,"cytochrome P450, family 7, subfamily A, polypeptide 1"
1583_at,1583,"cytochrome P450, family 11, subfamily A, polypeptide 1"
1584_at,1584,"cytochrome P450, family 11, subfamily B, polypeptide 1"
158427_at,158427,chromosome 9 open reading frame 97
1585_at,1585,"cytochrome P450, family 11, subfamily B, polypeptide 2"
158586_at,158586,"zinc finger, X-linked, duplicated B"
1586_at,1586,"cytochrome P450, family 17, subfamily A, polypeptide 1"
1587_at,1587,ADAM metallopeptidase domain 3A (cyritestin 1)
158747_at,158747,motile sperm domain containing 2
1588_at,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1"
1589_at,1589,"cytochrome P450, family 21, subfamily A, polypeptide 2"
159_at,159,adenylosuccinate synthase
1591_at,1591,"cytochrome P450, family 24, subfamily A, polypeptide 1"
1592_at,1592,"cytochrome P450, family 26, subfamily A, polypeptide 1"
1593_at,1593,"cytochrome P450, family 27, subfamily A, polypeptide 1"
1594_at,1594,"cytochrome P450, family 27, subfamily B, polypeptide 1"
1595_at,1595,"cytochrome P450, family 51, subfamily A, polypeptide 1"
16_at,16,alanyl-tRNA synthetase
1600_at,1600,disabled homolog 1 (Drosophila)
1601_at,1601,"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"
1602_at,1602,dachshund homolog 1 (Drosophila)
1603_at,1603,defender against cell death 1
1604_at,1604,"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
1605_at,1605,dystroglycan 1 (dystrophin-associated glycoprotein 1)
160518_at,160518,hypothetical protein MGC24039
1606_at,1606,"diacylglycerol kinase, alpha 80kDa"
1607_at,1607,"diacylglycerol kinase, beta 90kDa"
1608_at,1608,"diacylglycerol kinase, gamma 90kDa"
1609_at,1609,"diacylglycerol kinase, theta 110kDa"
161_at,161,"adaptor-related protein complex 2, alpha 2 subunit"
1610_at,1610,D-amino-acid oxidase
1611_at,1611,death-associated protein
1612_at,1612,death-associated protein kinase 1
161291_at,161291,transmembrane protein 30B
1613_at,1613,death-associated protein kinase 3
1615_at,1615,aspartyl-tRNA synthetase
1616_at,1616,death-associated protein 6
1618_at,1618,deleted in azoospermia-like
162_at,162,"adaptor-related protein complex 1, beta 1 subunit"
1620_at,1620,deleted in bladder cancer 1
1621_at,1621,dopamine beta-hydroxylase (dopamine beta-monooxygenase)
1622_at,1622,"diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)"
162427_at,162427,"family with sequence similarity 134, member C"
1627_at,1627,drebrin 1
1628_at,1628,D site of albumin promoter (albumin D-box) binding protein
1629_at,1629,dihydrolipoamide branched chain transacylase E2
163_at,163,"adaptor-related protein complex 2, beta 1 subunit"
1630_at,1630,deleted in colorectal carcinoma
163131_at,163131,zinc finger protein 780B
1632_at,1632,"dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)"
1633_at,1633,deoxycytidine kinase
1634_at,1634,decorin
1635_at,1635,dCMP deaminase
1636_at,1636,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
1638_at,1638,"dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
1639_at,1639,"dynactin 1 (p150, glued homolog, Drosophila)"
164_at,164,"adaptor-related protein complex 1, gamma 1 subunit"
1641_at,1641,"doublecortex; lissencephaly, X-linked (doublecortin)"
1642_at,1642,"damage-specific DNA binding protein 1, 127kDa"
1643_at,1643,"damage-specific DNA binding protein 2, 48kDa"
1644_at,1644,dopa decarboxylase (aromatic L-amino acid decarboxylase)
1645_at,1645,"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"
1646_at,1646,"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)"
164656_at,164656,"transmembrane protease, serine 6"
1647_at,1647,"growth arrest and DNA-damage-inducible, alpha"
1649_at,1649,DNA-damage-inducible transcript 3
165_at,165,AE binding protein 1
